nom,type,adresse,code_postal,commune,code_insee,tel,gestion,gestionnaire,capacite,nb_accueil_fam,age_mini_mois,age_maxi_annee,handicap,geo_shape,geo_point_2d
Boulogne-Billancourt Yves Kermen,Multi-accueil,61 RUE YVES KERMEN,92100,BOULOGNE BILLANCOURT,92012,01 55 60 07 37,Privé,Société Crèche Attitude,20.0,,2.5,4.0,,"{""coordinates"": [2.240378000543051, 48.82771499966897], ""type"": ""Point""}","48.82771499966897, 2.240378000543051"
Bulles de crèche Courbevoie,Micro crèche,6 TER RUE ROUGET DE L ISLE,92400,COURBEVOIE,92026,01 46 91 02 67,Privé,Société Yvelines Petite Enfance,12.0,,4.0,4.0,,"{""coordinates"": [2.2509439998371894, 48.89833099992963], ""type"": ""Point""}","48.89833099992963, 2.2509439998371894"
Calypso,Multi-accueil,18 AVENUE MALVESIN,92400,COURBEVOIE,92026,01 43 33 92 94,Privé,Société La Maison Bleue - Courbevoie,46.0,,2.5,4.0,,"{""coordinates"": [2.27091499934434, 48.90263500038163], ""type"": ""Point""}","48.90263500038163, 2.27091499934434"
Carvès,Multi-accueil,53 RUE CARVES,92120,MONTROUGE,92049,01 46 12 76 63,Commune,Commune de Montrouge,60.0,,2.5,4.0,6.0,"{""coordinates"": [2.3212439998736727, 48.81263999956619], ""type"": ""Point""}","48.81263999956619, 2.3212439998736727"
Charles Perrault Hôpital Beaujon,Multi-accueil,100 BOULEVARD GENERAL LECLERC,92110,CLICHY,92024,01 40 87 52 34,Public autre,Hôpital Beaujon,110.0,,2.5,4.0,,"{""coordinates"": [2.307780000412925, 48.908508999926596], ""type"": ""Point""}","48.908508999926596, 2.307780000412925"
Château,Multi-accueil,22 RUE DU CHATEAU,92500,RUEIL MALMAISON,92063,01 47 51 81 00,Commune,Commune de Rueil-Malmaison,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.1809570005115444, 48.87511999986278], ""type"": ""Point""}","48.87511999986278, 2.1809570005115444"
Clarinette,Multi-accueil,41 BOULEVARD VICTOR HUGO,92110,CLICHY,92024,,Privé,Société People and Baby,24.0,,2.5,4.0,5.0,"{""coordinates"": [2.311587999940317, 48.8982769997677], ""type"": ""Point""}","48.8982769997677, 2.311587999940317"
Clématite,Multi-accueil,165 BLD DE VALMY,92700,COLOMBES,92025,01 46 38 28 95,Privé,Société La Maison Bleue - Ile de France,24.0,,2.5,4.0,5.0,"{""coordinates"": [2.2562650006710374, 48.93521599992616], ""type"": ""Point""}","48.93521599992616, 2.2562650006710374"
Clichy rue de Paris (MC),Micro crèche,87 RUE DE PARIS,92110,CLICHY,92024,01 83 81 77 09,Privé,Société Baboune Epopée,12.0,,2.5,4.0,,"{""coordinates"": [2.3037279995754694, 48.900888999954546], ""type"": ""Point""}","48.900888999954546, 2.3037279995754694"
Cognacq Jay,Multi-accueil,20 AVENUE DE VERSAILLES,92500,RUEIL MALMAISON,92063,01 47 49 66 80,Commune,Commune de Rueil-Malmaison,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.1684230003306295, 48.86698299999962], ""type"": ""Point""}","48.86698299999962, 2.1684230003306295"
Colbert,Multi-accueil,35 RUE JEAN LONGUET,92290,CHATENAY MALABRY,92019,,Commune,Commune de Châtenay-Malabry,30.0,,2.5,4.0,5.0,"{""coordinates"": [2.280682000653107, 48.77060999979855], ""type"": ""Point""}","48.77060999979855, 2.280682000653107"
Colchique,Multi-accueil,386 AVENUE DE DIVISION LECLERC,92290,CHATENAY MALABRY,92019,,Privé,Société La Maison Bleue - Ile de France,42.0,,2.5,4.0,5.0,"{""coordinates"": [2.255422999732483, 48.766272000157734], ""type"": ""Point""}","48.766272000157734, 2.255422999732483"
Coquelicots,Multi-accueil,2 BIS RUE D OLOMOUC,92160,ANTONY,92002,01 40 96 64 19,Commune,Commune d'Antony,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.3100839993259137, 48.76422899956448], ""type"": ""Point""}","48.76422899956448, 2.3100839993259137"
Courbevoie Georges Clémenceau (MC),Micro crèche,23 BIS AVENUE GEORGE CLEMENCEAU,92400,COURBEVOIE,92026,01 46 41 00 53,Privé,Société Crèches de France,10.0,,2.5,4.0,,"{""coordinates"": [2.2725180000091734, 48.9027780000956], ""type"": ""Point""}","48.9027780000956, 2.2725180000091734"
Crèche des Jardins,Multi-accueil,10 RUE FELIX PYAT,92800,PUTEAUX,92062,01 47 75 15 36,Commune,Commune de Puteaux,55.0,,2.5,4.0,5.0,"{""coordinates"": [2.2332890001040364, 48.889645999891464], ""type"": ""Point""}","48.889645999891464, 2.2332890001040364"
Crèche des Montalets,Multi-accueil,9 AVENUE HENRI IV,92190,MEUDON,92048,01 55 64 12 80,Commune,Commune de Meudon,55.0,,2.5,4.0,,"{""coordinates"": [2.246259000242095, 48.817604000440085], ""type"": ""Point""}","48.817604000440085, 2.246259000242095"
Crèche des p'tits marins,Multi-accueil,9 AVENUE CHARLES DE GAULLE,92100,BOULOGNE BILLANCOURT,92012,01 49 09 57 43,Public autre,Hôpitaux Universitaires Paris Ile-de-France Ouest,120.0,,2.5,4.0,,"{""coordinates"": [2.237284999853389, 48.84902900040971], ""type"": ""Point""}","48.84902900040971, 2.237284999853389"
Crèche des Rosiers,Multi-accueil,2 ALLEE DES ROSIERS,92220,BAGNEUX,92007,,Commune,Commune de Bagneux,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.3023800003605532, 48.78679399977734], ""type"": ""Point""}","48.78679399977734, 2.3023800003605532"
Crèche du Château,Multi-accueil,19 29 RUE JEAN JAURES,92800,PUTEAUX,92062,,Commune,Commune de Puteaux,72.0,,2.5,4.0,,"{""coordinates"": [2.2461320003953666, 48.88418500025695], ""type"": ""Point""}","48.88418500025695, 2.2461320003953666"
Crèche Familiale,Accueil familial,5 RUE GEORGES MILLANDY,92360,MEUDON,92048,01 41 07 94 90,Commune,Commune de Meudon,75.0,75.0,2.5,4.0,,"{""coordinates"": [2.2328059996296497, 48.78538100014493], ""type"": ""Point""}","48.78538100014493, 2.2328059996296497"
Crèche Familiale et multi-accueil Sud Les Jeune Pousses,Multi-accueil,2 RESIDENCE DU PORT GALAND,92220,BAGNEUX,92007,,Commune,Commune de Bagneux,75.0,60.0,2.5,4.0,5.0,"{""coordinates"": [2.3115750003454827, 48.79004000003574], ""type"": ""Point""}","48.79004000003574, 2.3115750003454827"
Crèche Gabrielle,Micro crèche,20 RUE GAMBETTA,92000,NANTERRE,92050,,Privé,Société Ted Crèches,12.0,,2.5,4.0,,"{""coordinates"": [2.1994780002855556, 48.88790100042424], ""type"": ""Point""}","48.88790100042424, 2.1994780002855556"
Crèche La Rose des Vents,Multi-accueil,60 TER RUE DU 19 JANVIER,92380,GARCHES,92033,01 47 41 05 73,Commune,Commune de Garches,50.0,,2.5,4.0,,"{""coordinates"": [2.1851289997705097, 48.85045200036785], ""type"": ""Point""}","48.85045200036785, 2.1851289997705097"
Crèche Marcel Bontemps,Multi-accueil,17 TRAVERSE JULES GUESDE,92100,BOULOGNE BILLANCOURT,92012,01 46 05 38 74,Commune,Commune de Boulogne-Billancourt,80.0,,2.5,4.0,,"{""coordinates"": [2.24044199942906, 48.8257439997829], ""type"": ""Point""}","48.8257439997829, 2.24044199942906"
